batch_id,cluster_id,num_cases,risk_score,alert_level,temporal_concentration,geographic_concentration,event_similarity,severity_concentration,size_anomaly,manufacturing_concentration,primary_region,primary_drug,primary_event
BATCH_Site_E_Brazil_504,6,1,0.3,MEDIUM,0.0,0,1.0,1.0,0.0,0.0,South_America,Omeprazole,Allergic_Reaction
BATCH_Site_D_China_630,16,1,0.3,MEDIUM,0.0,0,1.0,1.0,0.0,0.0,North_America,Levothyroxine,Rash
BATCH_Site_A_Germany_698,12,1,0.3,MEDIUM,0.0,0,1.0,1.0,0.0,0.0,North_America,Omeprazole,Stomach_Pain
BATCH_Site_A_Germany_184,0,1,0.3,MEDIUM,0.0,0,1.0,1.0,0.0,0.0,North_America,Ibuprofen,Dizziness
BATCH_Site_D_China_460,13,1,0.3,MEDIUM,0.0,0,1.0,1.0,0.0,0.0,South_America,Amoxicillin,Joint_Pain
BATCH_Site_C_USA_570,0,1,0.3,MEDIUM,0.0,0,1.0,1.0,0.0,0.0,North_America,Ibuprofen,Dizziness
BATCH_Site_D_China_156,6,1,0.3,MEDIUM,0.0,0,1.0,1.0,0.0,0.0,South_America,Omeprazole,Allergic_Reaction
BATCH_Site_B_India_007,13,1,0.3,MEDIUM,0.0,0,1.0,1.0,0.0,0.0,Africa,Amoxicillin,Joint_Pain
BATCH_Site_E_Brazil_708,0,1,0.3,MEDIUM,0.0,0,1.0,1.0,0.0,0.0,North_America,Ibuprofen,Dizziness
BATCH_Site_C_USA_435,0,1,0.3,MEDIUM,0.0,0,1.0,1.0,0.0,0.0,North_America,Ibuprofen,Dizziness
BATCH_Site_D_China_717,-1,2,0.27487544302325495,LOW,1.0,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Aspirin,Insomnia
BATCH_Site_E_Brazil_369,-1,2,0.27487544302325495,LOW,1.0,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Amoxicillin,Insomnia
BATCH_Site_A_Germany_738,-1,2,0.27487544302325495,LOW,1.0,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Metformin,Fatigue
BATCH_Site_D_China_817,-1,2,0.27487544302325495,LOW,1.0,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Albuterol,Allergic_Reaction
BATCH_Site_D_China_525,-1,2,0.27487544302325495,LOW,1.0,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Ibuprofen,Dizziness
BATCH_Site_A_Germany_112,-1,2,0.27487544302325495,LOW,1.0,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Albuterol,Dizziness
BATCH_Site_E_Brazil_017,-1,2,0.27487544302325495,LOW,1.0,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,North_America,Albuterol,Allergic_Reaction
BATCH_Site_E_Brazil_331,-1,2,0.27487544302325495,LOW,1.0,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Ibuprofen,Fatigue
BATCH_Site_C_USA_579,-1,2,0.27487544302325495,LOW,1.0,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Aspirin,Headache
BATCH_Site_D_China_802,-1,2,0.27487544302325495,LOW,1.0,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Amoxicillin,Headache
BATCH_Site_D_China_736,-1,2,0.27487544302325495,LOW,1.0,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Atorvastatin,Fever
BATCH_Site_A_Germany_222,-1,2,0.27487544302325495,LOW,1.0,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Atorvastatin,Fatigue
BATCH_Site_B_India_760,-1,2,0.27487544302325495,LOW,1.0,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Aspirin,Joint_Pain
BATCH_Site_E_Brazil_324,-1,2,0.27487544302325495,LOW,1.0,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,North_America,Omeprazole,Fever
BATCH_Site_D_China_047,-1,2,0.27265322080103277,LOW,0.9888888888888889,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Albuterol,Insomnia
BATCH_Site_A_Germany_659,-1,2,0.27265322080103277,LOW,0.9888888888888889,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Albuterol,Headache
